Model,Strategy,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,Accuracy_std,Precision_std,Recall_std,F1_std,ROC-AUC_std,PR-AUC_std
Logistic Regression,Class Weight,0.7492027593337125,0.5178394863030773,0.8020066889632107,0.6291605578869637,0.8454978255467646,0.6583126292781625,0.01447483193430782,0.017924768737273118,0.034067776797984846,0.021380888238540553,0.012290661888379123,0.01883144594377188
Logistic Regression,SMOTE,0.7555934506013389,0.5264503163898826,0.785953177257525,0.6303842940103352,0.8444567340550726,0.6559288030231555,0.012810090203604739,0.016554536701687772,0.0348853640412182,0.021041849465230328,0.012737620079333368,0.01998578619221433
Decision Tree,Class Weight,0.7344694492207262,0.49980349999413126,0.7879598662207359,0.6114890370254235,0.8286797512874298,0.6151519272952377,0.004562901334853385,0.005430346569697212,0.02638539521513847,0.009693699106612538,0.012620928225334031,0.026912546092891065
Decision Tree,SMOTE,0.7616323693737284,0.5564262116253701,0.6013377926421405,0.5712586348714136,0.8130047602728826,0.542947584205349,0.024314469273921134,0.05753384644589778,0.08483124474909805,0.02653644521959176,0.009792616041938873,0.01967454128757779
Random Forest,Class Weight,0.7531091361558138,0.523455570236513,0.7899665551839465,0.6295409109059669,0.8482003642593311,0.6632768134020096,0.012735374703194595,0.016615221849640597,0.012224526342807393,0.01396009605139887,0.010255544541975671,0.020353945894675783
Random Forest,SMOTE,0.7964167117151904,0.6122495104702766,0.6381270903010033,0.6245272574605321,0.8435359803284956,0.6465247512019977,0.00807490866303568,0.019232839772280356,0.021194621428434583,0.01239895860305164,0.009762751731759363,0.02220608114644943
SVM,Class Weight,0.7957068625581362,0.6151763869762208,0.6140468227424749,0.6143557313827118,0.8304359001124361,0.6125254734414197,0.010127652363732755,0.01852189587568586,0.03294611466494918,0.02345715565336834,0.00981873041299819,0.02823870055638557
SVM,SMOTE,0.7726312488081184,0.5556432976723003,0.7123745819397993,0.6240236879483472,0.8283749340706983,0.613128509721002,0.010120964345337852,0.013965039280300656,0.0408519905942541,0.02270032255395549,0.013413788353623574,0.022059566855926933
XGBoost,Class Weight,0.7609173192792446,0.53646069399528,0.7304347826086957,0.618502948391685,0.8348002992487464,0.6476419761016251,0.007559368864012026,0.01086340611577653,0.018023001451916376,0.01147035863080503,0.009012233476258985,0.014050229325956912
XGBoost,SMOTE,0.7933996951935458,0.6307909273350425,0.537123745819398,0.5795330507191119,0.8362458518778879,0.6461300984884837,0.008932717617504546,0.025313220129707586,0.029279021576239832,0.01964742897823215,0.009688547120519987,0.021239319456113903
